"k","constraint","fve","orth_violation","total_pwcorr","nnz"
5,"orthogonality",0.0330436687108959,0.000221833453342503,11.6405015816883,20
10,"orthogonality",0.0647018288113132,8.49312431424708e-05,17.0613608446396,40
15,"orthogonality",0.0757638803028203,9.53948240127527e-05,18.1419515307553,60
20,"orthogonality",0.0918922517430075,8.05443001381298e-05,16.9687857329948,80
25,"orthogonality",0.0967367046638533,9.73483536216413e-05,18.5546568655429,100
30,"orthogonality",0.100358619108866,9.67498886643794e-05,19.7647066588716,120
35,"orthogonality",0.113931885287378,9.97677327746273e-05,16.2756926147596,140
5,"zero-correlation",0.0271912830545706,0.0537112712385049,0.0640272153124254,20
10,"zero-correlation",0.0384052436402935,0,0.0998869791437438,40
15,"zero-correlation",0.0545368087481801,0.291740144963505,0.000428156534950959,60
20,"zero-correlation",0.0720615137070307,0.437765178195047,0.000685048242691634,80
25,"zero-correlation",0.0779003997744367,0.474433629514727,0.000998765995345497,100
30,"zero-correlation",0.0862641788908908,0.424094008005075,0.000532474505871183,120
35,"zero-correlation",0.0829933084931427,0.52590942206166,0.00071191724006768,140
5,"nsprcomp",0.040858038901569,0,8.53447335142654,20
10,"nsprcomp",0.0683638743700697,0,15.6734333041583,40
15,"nsprcomp",0.0707468959680777,0,10.1662530018576,60
20,"nsprcomp",0.0986142737003681,0,13.908878282696,80
25,"nsprcomp",0.108288680791474,0.0148384979408846,15.6236900304483,100
30,"nsprcomp",0.102477340588165,0.102827909721219,12.2932119041204,120
35,"nsprcomp",0.105205642391854,0.198235730952456,13.662897757584,140
