n,package,sparsity,accuracy,ortho_viol,varexplained
25,msPCA,40,0.6,1.91061978542474e-4,0.044464927121152076
25,elasticnet,40,0.425,0.009075841115769041,0.04425616998208027
50,msPCA,40,0.45,1.266981969663177e-4,0.05223063296503184
50,elasticnet,40,0.525,0.08662936436926022,0.050596811233385226
75,msPCA,40,0.575,1.645144510798671e-4,0.06309569847921712
75,elasticnet,40,0.55,0.009349939760139817,0.060839682363466464
100,msPCA,40,0.675,1.6021310435379696e-4,0.07127935964071994
100,elasticnet,40,0.675,0.014417875590166926,0.07091516678845666
150,msPCA,40,0.85,1.581170487106246e-4,0.08975997012839115
150,elasticnet,40,0.8,0.04456652235827505,0.08178910695292113
200,msPCA,40,0.9,1.8228133900858982e-4,0.09823843310444318
200,elasticnet,40,0.9,0.0031569555481633605,0.0867326220673372
250,msPCA,40,0.95,1.926059839511983e-4,0.10378979283258791
250,elasticnet,40,0.975,2.220446049250313e-16,0.09400043857951437
500,msPCA,40,1,2.220446049250313e-16,0.10869835588621107
500,elasticnet,40,1,1.1102230246251565e-16,0.1044258063251283
1000,msPCA,40,1,2.220446049250313e-16,0.10982202015730816
1000,elasticnet,40,1,4.440892098500626e-16,0.10874744396990962
1500,msPCA,40,1,1.1102230246251565e-16,0.11053619192873211
1500,elasticnet,40,1,4.440892098500626e-16,0.11020470980259053
25,msPCA,40,0.6,1.4741243091730968e-4,0.06393042576747734
25,elasticnet,40,0.425,0.032680181397775,0.05514261575444524
50,msPCA,40,0.675,1.752237930614915e-4,0.07512222151962847
50,elasticnet,40,0.7,0.023821578027743987,0.0662694924869144
75,msPCA,40,0.875,1.800641391528927e-4,0.09337976976254725
75,elasticnet,40,0.8,0.04050123347485894,0.082061615285554515
100,msPCA,40,0.875,1.6017665678063543e-4,0.09479527072168956
100,elasticnet,40,0.9,0.028038582338384303,0.08897343149940073
150,msPCA,40,0.9,1.9658003495096946e-4,0.09815575256115923
150,elasticnet,40,0.925,0.032452011120540164,0.08977880277324755
200,msPCA,40,0.925,1.935938325666586e-4,0.10054180106763981
200,elasticnet,40,0.95,3.3306690738754696e-16,0.08724557633233057
250,msPCA,40,0.975,4.440892098500626e-16,0.10511343005001136
250,elasticnet,40,0.975,5.551115123125783e-16,0.09792724928974178
500,msPCA,40,1,0,0.10830628472930723
500,elasticnet,40,1,5.551115123125783e-16,0.10352550136116785
1000,msPCA,40,1,3.3306690738754696e-16,0.10968980173025791
1000,elasticnet,40,1,2.220446049250313e-16,0.10877920664923416
1500,msPCA,40,1,3.3306690738754696e-16,0.11021145783918541
1500,elasticnet,40,1,4.440892098500626e-16,0.10960126810428104
25,msPCA,40,0.4,1.4652811870836965e-4,0.05187139310094961
25,elasticnet,40,0.425,0.04056428388894375,0.04761132730436192
50,msPCA,40,0.5,1.2661162301001667e-4,0.05307246908667339
50,elasticnet,40,0.45,0.015571099771325718,0.048004339152295884
75,msPCA,40,0.5,1.1654067722298457e-4,0.061769881026126947
75,elasticnet,40,0.6,0.007667400999201715,0.06011192962925451
100,msPCA,40,0.825,1.1478622690626947e-4,0.08805116824464995
100,elasticnet,40,0.775,0.007514648631278514,0.07764833658749742
150,msPCA,40,0.875,1.818252209476346e-4,0.09551192676908019
150,elasticnet,40,0.85,0.01592152559919057,0.08699743843115854
200,msPCA,40,0.925,1.3802615528960813e-6,0.1017403342620339
200,elasticnet,40,0.9,0.0031534803210560053,0.0923758933789938
250,msPCA,40,0.975,4.440892098500626e-16,0.10507027207880337
250,elasticnet,40,0.95,5.551115123125783e-16,0.09503707391723472
500,msPCA,40,1,3.3306690738754696e-16,0.10914006073317013
500,elasticnet,40,1,0,0.10497419041907709
1000,msPCA,40,1,0,0.11015619015345895
1000,elasticnet,40,1,2.220446049250313e-16,0.10892771810613529
1500,msPCA,40,1,0,0.11050704917316129
1500,elasticnet,40,1,2.220446049250313e-16,0.10994691486294282
25,msPCA,40,0.425,1.9470037874747546e-4,0.047454162126083055
25,elasticnet,40,0.425,0.09056435706867708,0.04822897927280491
50,msPCA,40,0.6,1.1648529585880041e-4,0.06342661661719853
50,elasticnet,40,0.625,0.03697088334985515,0.06059377676213873
75,msPCA,40,0.725,7.155644273706331e-5,0.07960360507671968
75,elasticnet,40,0.75,0.03569462477157631,0.07500487247702756
100,msPCA,40,0.75,1.5653476619273323e-4,0.0830298063465675
100,elasticnet,40,0.7,0.004615746316678475,0.0760151949596649
150,msPCA,40,0.85,1.6838155432813892e-4,0.09026132965135888
150,elasticnet,40,0.825,0.040997967122821485,0.08351684685330092
200,msPCA,40,0.9,1.4163527395494427e-4,0.09801521610751479
