n,package,sparsity,accuracy,ortho_viol,varexplained
25,msPCA,40,0.475,7.870687267224214e-5,0.06027222811570232
25,msPCA - X,40,0.475,7.870687267231957e-5,0.06027222811570232
25,elasticnet,40,0.525,0.03129300882226085,0.050435398181530415
50,msPCA,40,0.425,6.88912853263067e-5,0.06006953747142326
50,msPCA - X,40,0.425,6.889128532631756e-5,0.060069537471423254
50,elasticnet,40,0.575,0.01733843914580136,0.058067695443736085
75,msPCA,40,0.525,9.252292861438835e-5,0.06148417727179804
75,msPCA - X,40,0.525,9.252292861434856e-5,0.061484177271798016
75,elasticnet,40,0.45,0.010330157557292836,0.056097472562222354
100,msPCA,40,0.525,9.44985428553344e-5,0.0650743806385204
100,msPCA - X,40,0.525,9.449854285539256e-5,0.06507438063852038
100,elasticnet,40,0.75,0.029470344177731738,0.07027918689369397
150,msPCA,40,0.875,8.697628093014872e-5,0.09477487867903114
150,msPCA - X,40,0.875,8.697628093019113e-5,0.09477487867903117
150,elasticnet,40,0.875,0.011325371933339056,0.08448580207102374
200,msPCA,40,0.9,8.93445888224006e-5,0.09990778170536584
200,msPCA - X,40,0.9,8.934458882241268e-5,0.09990778170536586
200,elasticnet,40,0.925,0,0.09347996525682058
250,msPCA,40,0.95,8.904818793321416e-5,0.10426811263849604
250,msPCA - X,40,0.95,8.904818793309872e-5,0.10426811263849606
250,elasticnet,40,0.95,0,0.09741381953306323
500,msPCA,40,1,0,0.10970502327179936
500,msPCA - X,40,1,0,0.1097050232717993
500,elasticnet,40,1,0,0.10597694704000545
1000,msPCA,40,1,0,0.11050983628260586
1000,msPCA - X,40,1,0,0.11050983628260584
1000,elasticnet,40,1,0,0.10976147666460087
1500,msPCA,40,1,0,0.11075657925568766
1500,msPCA - X,40,1,0,0.11075657925568766
1500,elasticnet,40,1,0,0.11042470376607982
25,msPCA,40,0.425,9.394597119626987e-5,0.049923545587910206
25,msPCA - X,40,0.425,9.394597119629828e-5,0.04992354558791023
25,elasticnet,40,0.425,0.06002873965155954,0.048408508424891666
50,msPCA,40,0.475,8.487170974737747e-5,0.059119424196997554
50,msPCA - X,40,0.475,8.487170974751715e-5,0.05911942419699754
50,elasticnet,40,0.475,0.0010270959262616691,0.050635843841802024
75,msPCA,40,0.675,9.2553986831066e-5,0.07027265576049152
75,msPCA - X,40,0.675,9.255398683102788e-5,0.07027265576049149
75,elasticnet,40,0.675,0.0239437668243171,0.0687593080856339
100,msPCA,40,0.75,8.062598955078052e-5,0.08188887174208949
100,msPCA - X,40,0.75,8.062598955074841e-5,0.08188887174208953
100,elasticnet,40,0.85,0.017142273856839342,0.0820504061230691
150,msPCA,40,0.9,9.231128762022206e-5,0.09793433134960061
150,msPCA - X,40,0.9,9.231128762027462e-5,0.09793433134960057
150,elasticnet,40,0.85,0.006952295285445119,0.08998747031274108
200,msPCA,40,0.875,8.07461243315544e-5,0.09466646362728892
200,msPCA - X,40,0.875,8.074612433146236e-5,0.09466646362728894
200,elasticnet,40,0.85,0.02112626682765018,0.08219883185792144
250,msPCA,40,0.9,8.711189263900305e-5,0.09897849611127907
250,msPCA - X,40,0.9,8.711189263898607e-5,0.09897849611127905
250,elasticnet,40,0.95,0.003292680457336953,0.09420142883063795
500,msPCA,40,0.975,0,0.1072850089387121
500,msPCA - X,40,0.975,0,0.10728500893871208
500,elasticnet,40,0.975,0,0.10438950237126185
1000,msPCA,40,1,0,0.11003722124911859
1000,msPCA - X,40,1,0,0.1100372212491186
1000,elasticnet,40,1,0,0.10886487314580152
1500,msPCA,40,1,0,0.1104931782100766
1500,msPCA - X,40,1,0,0.11049317821007665
1500,elasticnet,40,1,0,0.11003426215121215
25,msPCA,40,0.45,8.076441495975556e-5,0.06495433331631971
25,msPCA - X,40,0.45,8.076441495992829e-5,0.0649543333163197
25,elasticnet,40,0.475,0.025078089079410594,0.06047682587015873
50,msPCA,40,0.475,6.547017746114216e-5,0.0645662058024486
50,msPCA - X,40,0.475,6.547017746102345e-5,0.06456620580244861
50,elasticnet,40,0.55,0.0045915215819894535,0.05643658671339094
75,msPCA,40,0.55,9.494056308470439e-5,0.06260280883996598
75,msPCA - X,40,0.55,9.494056308474087e-5,0.062602808839966
75,elasticnet,40,0.55,0.003537165181799485,0.06023109111574046
100,msPCA,40,0.625,9.506810685187571e-5,0.07413420385007889
100,msPCA - X,40,0.625,9.506810685189144e-5,0.07413420385007888
100,elasticnet,40,0.6,0.06158313134805401,0.06783937904018864
150,msPCA,40,0.825,8.01442728714948e-5,0.08885209005661245
150,msPCA - X,40,0.825,8.014427287151211e-5,0.08885209005661243
150,elasticnet,40,0.775,0.06776051499343537,0.07969528825397543
200,msPCA,40,0.925,9.734077533748456e-5,0.10145858836396086
200,msPCA - X,40,0.925,9.734077533745818e-5,0.10145858836396081
200,elasticnet,40,0.95,0.003037927074219404,0.091676518403636
250,msPCA,40,0.925,3.0976458083654354e-6,0.10270815342062808
250,msPCA - X,40,0.925,3.097645808313469e-6,0.10270815342062815
250,elasticnet,40,0.95,0,0.09666404977495821
500,msPCA,40,0.975,0,0.10742730581387895
500,msPCA - X,40,0.975,0,0.10742730581387891
500,elasticnet,40,0.975,0,0.10555890674430034
1000,msPCA,40,1,0,0.110082413931429
1000,msPCA - X,40,1,0,0.11008241393142898
1000,elasticnet,40,1,0,0.108768063358999
1500,msPCA,40,1,0,0.11053239332670689
1500,msPCA - X,40,1,0,0.1105323933267069
1500,elasticnet,40,1,0,0.11005404211120946
25,msPCA,40,0.55,8.943567524128045e-5,0.05762021676119862
25,msPCA - X,40,0.55,8.94356752413498e-5,0.05762021676119863
25,elasticnet,40,0.375,0.08129851824439076,0.04933052433005906
50,msPCA,40,0.475,8.39667019152997e-5,0.05719220220402573
50,msPCA - X,40,0.475,8.396670191535996e-5,0.057192202204025724
50,elasticnet,40,0.625,0.014881278493440696,0.057990809178429886
75,msPCA,40,0.675,5.2424884609102615e-5,0.07622514233787801
75,msPCA - X,40,0.675,5.2424884609161135e-5,0.07622514233787803
75,elasticnet,40,0.775,0.001737536256239132,0.07604566504611861
100,msPCA,40,0.75,9.627316540981982e-5,0.08147057123714259
100,msPCA - X,40,0.75,9.627316540998209e-5,0.08147057123714257
100,elasticnet,40,0.75,8.728964889928075e-4,0.07513307725812861
150,msPCA,40,0.9,8.176790507126555e-5,0.09649195407818158
150,msPCA - X,40,0.9,8.176790507131723e-5,0.09649195407818156
