"method","runtime_s","runtime_min_s","runtime_max_s","working_set_mb","working_set_min_mb","working_set_max_mb","input_mb","mem_delta_mb","peak_rss_mb","baseline_rss_mb","gc_max_mb","nnz_pc1","nnz_pc2","nnz_pc3","fve","fve_min","fve_max","orth","orth_max","n_fail"
"msPCA (Sigma)",27.244,14.119,27.602,9.4,6.6,11.3,1.9,7.5,91.4,82.2,42.7,20,20,20,0.093,0.088,0.095,7.54236142999991e-05,9.84428845181521e-05,0
"msPCA (X)",13.268,6.79,13.399,3.2,2.8,4.4,0.3,2.8,82.7,79.9,44.2,20,20,20,0.095,0.088,0.095,7.54236142999606e-05,9.84428845180696e-05,0
"elasticnet (Sigma)",16.104,16.063,16.209,191.9,149.1,219.9,1.9,190,275.6,83,110.3,20,20,20,0.043,0.043,0.043,0.0403611594587958,0.0403611594587958,0
"elasticnet (X)",0.816,0.812,0.826,78.9,78.9,127.1,0.3,78.6,159,80.4,118.6,20,20,20,0.043,0.043,0.043,0.0206096838420712,0.0206096838420712,0
"PMA",0.041,0.041,0.042,33.4,33.3,36.3,0.3,33.1,113.5,80.5,85.6,20,22,13,0.042,0.042,0.042,0.00798855038109921,0.00798855038109921,0
"sparsepca",4.841,4.732,4.974,142.4,46,175.9,1.9,140.5,323,191.8,162.8,43,14,22,0.082,0.082,0.082,0,0,0
"amanpg",0.071,0.07,0.073,49.5,49.4,65.4,0.3,49.1,128.2,79,92.6,68,1,2,0.045,0.045,0.045,0,0,0
"mixOmics",0.032,0.032,0.033,7,6.9,27.6,0.3,6.6,294.9,287,187.5,20,20,20,0.077,0.077,0.077,0,0,0
"nsprcomp",0.032,0.03,0.035,48.4,47.2,51,0.3,48,127.1,79.1,96.1,20,20,20,0.083,0.07,0.084,0,0,0
"nscumcomp",0.229,0.219,0.261,55,53.6,57.6,0.3,54.7,133.8,79.1,93.2,29,23,8,0.081,0.08,0.085,0,0,0
"Dense PCA",0.01,0.009,0.01,2.6,2.5,3.6,0.3,2.2,82.1,79.9,40.8,500,500,500,0.352,0.352,0.352,1.04426077315989e-15,1.04426077315989e-15,0
"sklearn SparsePCA",0.079,0.078,0.081,0.6,0.5,1.3,0.3,0.2,347.3,346.4,110.9,22,3,1,0.02,0.02,0.032,0,0,0
