"method","runtime_s","runtime_min_s","runtime_max_s","working_set_mb","working_set_min_mb","working_set_max_mb","input_mb","mem_delta_mb","peak_rss_mb","baseline_rss_mb","gc_max_mb","nnz_pc1","nnz_pc2","nnz_pc3","fve","fve_min","fve_max","orth","orth_max","n_fail"
"msPCA (Sigma)",0.193,0.187,0.197,0.4,0.4,0.6,0,0.4,87.2,86.6,34,4,4,4,0.829,0.829,0.829,9.3942458358607e-05,9.40978517953366e-05,0
"msPCA (X)",0.245,0.243,0.248,0.2,0.2,0.5,0,0.2,81.1,80.9,34.4,4,4,4,0.829,0.829,0.829,9.38152785563791e-05,9.40978517953142e-05,0
"elasticnet (Sigma)",0.092,0.091,0.093,20.8,20.7,21.6,0,20.8,101.4,80.5,70.3,4,4,4,0.753,0.753,0.753,0.116828252885501,0.116828252885501,0
"elasticnet (X)",0.112,0.111,0.112,22.9,22.9,25,0,22.9,103.2,80.3,72.9,4,4,4,0.754,0.754,0.754,0.116854091371661,0.116854091371661,0
"PMA",0.009,0.009,0.01,0.6,0.6,0.6,0,0.6,80.6,80,47.8,4,4,5,0.551,0.551,0.551,0.221292153068898,0.221292153068898,0
"sparsepca",0.031,0.031,0.033,16.7,16.7,17.9,0,16.7,208.3,191.6,151.9,6,4,1,0.581,0.581,0.581,0.132960199810188,0.132960199810188,0
"amanpg",0.008,0.007,0.008,1.6,1.5,1.7,0,1.6,86.3,84.7,43.2,4,4,1,0.544,0.544,0.544,0.0467798732631463,0.0467798732631463,0
"mixOmics",0.003,0.003,0.004,0.5,0.5,0.5,0,0.5,291.3,290.8,152.2,4,4,4,0.633,0.633,0.633,0.133070088294377,0.133070088294377,0
"nsprcomp",0.004,0.004,0.005,0.1,0.1,1.2,0,0.1,80.2,80.1,38.7,4,4,4,0.832,0.832,0.832,0.077707764261113,0.0783317338600978,0
"nscumcomp",0.242,0.227,0.258,30.5,30.3,35,0,30.5,110.4,80,77.7,5,5,2,0.824,0.798,0.825,1.08547034499009e-05,3.32552897676048e-05,0
"Dense PCA",0.001,0.001,0.002,0.5,0.5,0.5,0,0.5,80,79.6,33.9,11,11,11,0.899,0.899,0.899,3.00073356528161e-16,3.00073356528161e-16,0
"sklearn SparsePCA",0.013,0.009,0.015,0,0,0.1,0,0,349.2,349.2,110.5,4,3,4,0.827,0.827,0.827,0,0,0
