"method","runtime_s","runtime_min_s","runtime_max_s","working_set_mb","working_set_min_mb","working_set_max_mb","input_mb","mem_delta_mb","peak_rss_mb","baseline_rss_mb","gc_max_mb","nnz_pc1","nnz_pc2","nnz_pc3","nnz_pc4","nnz_pc5","nnz_pc6","fve","fve_min","fve_max","orth","orth_max","n_fail"
"msPCA (Sigma)",0.65,0.645,0.66,0.6,0.4,0.8,0,0.5,87.5,87.2,34,4,4,4,4,4,4,0.791,0.786,0.822,9.71192336025356e-05,9.83820622173809e-05,0
"msPCA (X)",3.972,3.942,3.985,0.5,0.3,0.5,0.1,0.4,79.6,79.2,35.2,4,4,4,4,4,4,0.794,0.784,0.801,9.41517001842026e-05,9.90114907565049e-05,0
"elasticnet (Sigma)",0.07,0.07,0.072,21.1,21.1,26.6,0,21.1,101.5,80.3,71.2,4,4,4,4,4,4,0.792,0.792,0.792,0.241057754710775,0.241057754710775,0
"elasticnet (X)",0.158,0.157,0.16,77.5,70.1,82.8,0.1,77.5,156.6,79.1,119.2,4,4,4,4,4,4,0.79,0.79,0.79,0.322300157278329,0.322300157278329,0
"PMA",0.02,0.02,0.024,15.3,15.3,15.6,0.1,15.3,94.8,79.5,65,3,4,4,4,3,4,0.714,0.714,0.714,0.491260114372369,0.491260114372369,0
"sparsepca",0.039,0.038,0.039,28.4,28.4,29.5,0,28.4,214.7,185.2,163.1,7,3,4,2,4,4,0.756,0.756,0.756,0.352539936282941,0.352539936282941,0
"amanpg",0.011,0.011,0.012,4.5,4.5,7.2,0,4.5,86.8,80,49.4,3,3,4,3,4,6,0.863,0.863,0.863,1.65394263535197,1.65394263535197,0
"mixOmics",0.009,0.009,0.01,0.6,0.6,0.6,0.1,0.5,278.1,277.6,166.2,4,4,4,4,4,4,0.788,0.788,0.788,0.214690568901904,0.214690568901904,0
"nsprcomp",0.025,0.023,0.028,32.6,31.8,38.6,0.1,32.6,118.2,79.7,82.2,4,4,4,4,4,4,0.816,0.813,0.833,0.562633488162962,1.10458397594768,0
"nscumcomp",1.086,1.045,1.16,65.3,64.5,128.9,0.1,65.3,144.5,78.8,104.6,5,6,5,2,4,2,0.819,0.814,0.83,5.06908049432339e-05,0.000102990967680887,0
"Dense PCA",0.001,0,0.001,0.4,0.4,0.4,0,0.4,79.7,79.3,33.3,13,13,13,13,13,13,0.877,0.877,0.877,5.73323644845188e-15,5.73323644845188e-15,0
"sklearn SparsePCA",0.061,0.06,0.062,0.1,0.1,0.4,0.1,0,343.3,343.3,110.5,7,3,4,3,5,4,0.907,0.907,0.907,0.814579527584357,0.814579527584357,0
