
msPCA solution:
4 sparse PCs 
Pct. of variance explained: 2.3 0.8 0.7 0.5 
Num. of non-zero loadings :  10 10 10 10 
Sparse PCs 
       [,1]   [,2]   [,3]   [,4]
ABT   0.000 -0.194  0.000  0.359
AEP  -0.313  0.000  0.000  0.000
BAX   0.000  0.000  0.000  0.417
BDX   0.000  0.000  0.000  0.388
CI    0.000  0.376  0.000  0.000
CMS  -0.312  0.000  0.000  0.000
CNC   0.000  0.334  0.000  0.000
COST  0.000  0.000  0.246  0.000
DG    0.000  0.000  0.423  0.000
DIS   0.000  0.000  0.077  0.000
DLTR  0.000  0.000  0.447 -0.032
DTE  -0.307  0.000  0.000  0.000
DUK  -0.322  0.000  0.000  0.000
ED   -0.333  0.099  0.000  0.000
ELV   0.000  0.419 -0.079  0.000
ES   -0.305  0.000  0.000  0.000
EW    0.000 -0.274  0.000  0.522
HUM   0.000  0.427  0.000  0.000
JKHY  0.000  0.000  0.000  0.068
MDT   0.000  0.000  0.000  0.342
MOH   0.000  0.318  0.000  0.000
PNW  -0.303  0.000  0.000  0.000
ROST  0.000  0.000  0.412  0.000
SO   -0.316  0.000  0.000  0.000
SW    0.000  0.000 -0.020  0.000
SYK   0.000  0.000  0.000  0.330
TGT   0.000  0.000  0.443  0.000
TJX   0.000  0.000  0.363  0.000
TYL   0.000  0.000  0.000  0.118
UHS   0.000  0.148  0.000  0.000
UNH   0.000  0.380  0.000  0.000
V     0.000  0.000  0.000  0.172
WEC  -0.323  0.000  0.000  0.000
WMT   0.000  0.000  0.225  0.000
XEL  -0.328  0.000  0.000  0.000
