
msPCA solution: 4 sparse PCs
Pct. variance explained: 2.128970 1.618915 1.515622 1.206676 
Non-zero loadings per PC: 10 10 10 10 

Sparse PCs
           [,1]       [,2]         [,3]         [,4]
AEE   0.0000000  0.0000000 0.000000e+00 4.093513e-01
AEP  -0.3256827  0.0000000 0.000000e+00 0.000000e+00
ATO   0.0000000  0.0000000 0.000000e+00 3.558689e-01
AVB   0.0000000 -0.3243459 0.000000e+00 0.000000e+00
AWK   0.0000000  0.0000000 0.000000e+00 3.593254e-01
CMS   0.0000000  0.0000000 0.000000e+00 4.245653e-01
CNP   0.0000000  0.0000000 2.731533e-01 0.000000e+00
CPT   0.0000000 -0.3174333 0.000000e+00 0.000000e+00
D     0.0000000  0.0000000 3.470012e-01 0.000000e+00
DOC   0.0000000 -0.3113592 0.000000e+00 0.000000e+00
DTE   0.0000000  0.0000000 3.560034e-01 5.432813e-05
DUK  -0.3286635  0.0000000 8.531235e-05 0.000000e+00
ED   -0.3448346  0.0000000 0.000000e+00 0.000000e+00
EIX   0.0000000  0.0000000 2.884016e-01 0.000000e+00
EQR   0.0000000 -0.3189128 0.000000e+00 0.000000e+00
ES   -0.3157012  0.0000000 0.000000e+00 0.000000e+00
ESS   0.0000000 -0.3190896 0.000000e+00 0.000000e+00
ETR   0.0000000  0.0000000 3.572759e-01 0.000000e+00
EVRG -0.2658205  0.0000000 0.000000e+00 0.000000e+00
EXC   0.0000000  0.0000000 3.288868e-01 0.000000e+00
FE    0.0000000  0.0000000 0.000000e+00 3.463596e-01
LNT   0.0000000  0.0000000 0.000000e+00 4.098322e-01
MAA   0.0000000 -0.3119365 0.000000e+00 0.000000e+00
NEE   0.0000000  0.0000000 3.493995e-01 0.000000e+00
NI   -0.2536450  0.0000000 0.000000e+00 0.000000e+00
O     0.0000000 -0.3005679 0.000000e+00 4.462158e-05
PEG   0.0000000  0.0000000 3.523271e-01 0.000000e+00
PNW  -0.3104323  0.0000000 0.000000e+00 7.776055e-05
PPL   0.0000000  0.0000000 3.362089e-01 0.000000e+00
SO   -0.3314032  0.0000000 0.000000e+00 0.000000e+00
SRE   0.0000000  0.0000000 0.000000e+00 3.293797e-01
UDR   0.0000000 -0.3209777 0.000000e+00 0.000000e+00
VTR   0.0000000 -0.3081289 0.000000e+00 0.000000e+00
WEC  -0.3341083  0.0000000 0.000000e+00 0.000000e+00
WELL  0.0000000 -0.3285607 0.000000e+00 0.000000e+00
XEL  -0.3383963  0.0000000 0.000000e+00 0.000000e+00
