"k","constraint","fve","orth_violation","total_pwcorr","nnz"
5,"orthogonality",0.0347378290759554,0.0155046215761631,19.0438227510836,20
10,"orthogonality",0.0639334348135514,8.48335219902631e-05,27.0385703418982,40
15,"orthogonality",0.0757598085416173,9.41985249291749e-05,28.6734774476063,60
20,"orthogonality",0.0929909727099228,9.83900114116833e-05,21.8607086933757,80
25,"orthogonality",0.095252902164343,9.26864930528369e-05,28.4214353015975,100
30,"orthogonality",0.111272720666357,9.9948280124952e-05,24.7671372241589,120
35,"orthogonality",0.114207551615313,9.81107072628192e-05,25.694521719262,140
5,"zero-correlation",0.0230572079364227,0.0402642732544135,0.0385029876209911,20
10,"zero-correlation",0.0411563564945782,0.401847744999609,0.00131005746386138,40
15,"zero-correlation",0.0511308696311133,0.308276391333063,0.00101150997495785,60
20,"zero-correlation",0.0531292684978797,0.130640758369884,0.0012790492735216,80
25,"zero-correlation",0.0592776542779113,0.32293965759997,0.000992229333683944,100
30,"zero-correlation",0.0686274161119283,0.363203361505111,0.000398894853684461,120
35,"zero-correlation",0.0750608612862838,0.401389512920277,0.000440870789230412,140
5,"nsprcomp",0.040859957450259,0,13.4926768228866,20
10,"nsprcomp",0.0650347609639087,0,18.0095510207969,40
15,"nsprcomp",0.0820222233218549,0,16.7518490227993,60
20,"nsprcomp",0.089318552247181,0,14.5988596749542,80
25,"nsprcomp",0.108305845762896,0.0148052264471182,24.7070974667241,100
30,"nsprcomp",0.102637725227158,0.128476512305956,19.7584444729825,120
35,"nsprcomp",0.0948674467841115,0.0204977640506878,22.2971043734216,140
